위도,경도,소재지도로명주소,소재지지번주소
37.6886175,127.0421056,서울특별시 도봉구 도봉산4길 27,NA
37.6879416,127.0412004,서울특별시 도봉구 도봉산4길 3-28,NA
37.6882488,127.0420842,서울특별시 도봉구 도봉산4길 19,NA
37.6876101,127.0419893,서울특별시 도봉구 도봉산4길 5,NA
37.68766396,127.0431773,서울특별시 도봉구 도봉산4길 4-15,NA
37.6883629,127.0434853,서울특별시 도봉구 도봉산4나길 19,NA
37.6756712,127.0441629,서울특별시 도봉구 도봉로 795-10,NA
37.6719803,127.0433521,서울특별시 도봉구 시루봉로29길 16,NA
37.6761955,127.032337,서울특별시 도봉구 도봉로169길 265,NA
37.6845911,127.0422469,서울특별시 도봉구 도봉산 3길 78-35,NA
37.6799976,127.0413514,서울특별시 도봉구 도봉로173길 40-10,NA
37.6839208,127.0425877,서울특별시 도봉구 도봉로177길 88,NA
37.6794867,127.0457918,서울특별시 도봉구 도봉로152가길 224,NA
37.6761134,127.0487121,서울특별시 도봉구 마들로 28길 93,NA
37.6900054,127.0432522,서울특별시 도봉구 도봉로 961,NA
37.68922879,127.0411375,서울특별시 도봉구 도봉로 191길 100-40,NA
37.68914219,127.0414503,서울특별시 도봉구 도봉산4길 45-12,NA
37.68976578,127.0411196,서울특별시 도봉구 도봉로191길 93,NA
37.6896828,127.0388265,서울특별시 도봉구 도봉로191길 88-94,NA
37.690346,127.0413668,서울특별시 도봉구 도봉로191길 73,NA
37.690935,127.0420077,서울특별시 도봉구 도봉로191길 58,NA
37.6813607,127.0442203,서울특별시 도봉구 도봉로177가길 9-3,NA
37.6877512,127.0465068,서울특별시 도봉구 도봉로180가길 96,NA
37.6853126,127.0445596,서울특별시 도봉구 도봉로 185길 11,NA
37.6834774,127.0440253,서울특별시 도봉구 도봉로 181길 33-15,NA
37.6813005,127.0430239,서울특별시 도봉구 도봉로 169가길 33,NA
37.6762147,127.0431867,서울특별시 도봉구 도봉로163길 28,NA
37.6886402,127.0442437,서울특별시 도봉구 도봉산4나길 41,NA
37.67487,127.0426995,서울특별시 도봉구 시루봉로23길 105,NA
37.6735612,127.0429646,서울특별시 도봉구 도봉로157길 20,NA
37.68192507,127.0470103,서울특별시 도봉구 도봉로180길 6-23,NA
37.6754325,127.0465091,서울특별시 도봉구 도봉로164길 34,NA
37.67530144,127.0461038,서울특별시 도봉구 도봉로164길 26-20,NA
37.6777316,127.0454719,서울특별시 도봉구 도봉로168길 6,NA
37.6892727,127.0475814,서울특별시 도봉구 마들로 916,NA
37.6781646,127.0494341,서울특별시 도봉구 마들로766,NA
37.6726942,127.0463866,서울특별시 도봉구 마들로699,NA
37.674296,127.0449231,서울특별시 도봉구 도봉로160길 5,NA
37.6781511,127.0455391,서울특별시 도봉구 도봉로168길 13,NA
37.6729209,127.0472441,서울특별시 도봉구 마들로 28길 10,NA
37.6705656,127.0445605,서울특별시 도봉구 도봉로154길 6-13,NA
37.6837042,127.046774,서울특별시 도봉구 도봉로180길 9,NA
37.67521387,127.0487653,서울특별시 도봉구 마들로 684-19,NA
37.67223412,127.0470586,서울특별시 도봉구 마들로 28나길 20,NA
37.6741119,127.0478943,서울특별시 도봉구 마들로28길 39,NA
37.6803234,127.045755,서울특별시 도봉구 도봉로170길 2,NA
37.6760124,127.0471411,서울특별시 도봉구 도봉로164길 33-34,NA
37.6640563,127.0371089,서울특별시 도봉구 방학로6길 26,NA
37.6642775,127.0378201,서울특별시 도봉구 방학로 130-30,NA
37.6615026,127.03376,서울특별시 도봉구 도당로 37,NA
37.6647897,127.0369883,서울특별시 도봉구 방학로6가길 11,NA
37.6618792,127.0478454,서울특별시 도봉구 마들로18길 19,NA
37.6668979,127.0473902,서울특별시 도봉구 마들로 646,NA
37.6644855,127.0410194,서울특별시 도봉구 방학로 2길 34,NA
37.6650404,127.0393336,서울특별시 도봉구 방학로 4길 48,NA
37.6636925,127.0360255,서울특별시 도봉구 방학로 8길 22,NA
37.6634767,127.0450526,서울특별시 도봉구 도봉로 146길 36,NA
37.6654014,127.044731,서울특별시 도봉구 도봉로 150라길 13,NA
37.6677995,127.0446753,서울특별시 도봉구 도봉로150다길 42,NA
37.6670021,127.0440134,서울특별시 도봉구 도봉로700-11,NA
37.6651908,127.0385518,서울특별시 도봉구 도봉로147길74,NA
37.6614934,127.0363905,서울특별시 도봉구 도당로6길 28,NA
37.6674182,127.0411018,서울특별시 도봉구 도당로 133,NA
37.6636274,127.0407539,서울특별시 도봉구 방학로2길 15,NA
37.6678722,127.040434,서울특별시 도봉구 도당로13가길 105,NA
37.6611968,127.0502637,서울특별시 도봉구 마들로18길 65,NA
37.6618352,127.0407429,서울특별시 도봉구 방학로3길 18,NA
37.6632761,127.045317,서울특별시 도봉구 도봉로150바길 60,NA
37.66872996,127.0404597,서울특별시 도봉구 도당로25길 30,NA
37.6641662,127.0399728,서울특별시 도봉구 방학로112-48,NA
37.6654131,127.0401789,서울특별시 도봉구 도봉로147길 46-8,NA
37.6650126,127.0419035,서울특별시 도봉구 도봉로145나길 9,NA
37.6686287,127.0470496,서울특별시 도봉구 마들로 656,NA
37.6669065,127.0315248,서울특별시 도봉구 시루봉로13길 13,NA
37.6634104,127.0306295,서울특별시 도봉구 방학로12가길 5-16,NA
37.662932,127.0343647,서울특별시 도봉구 도당로9길 3,NA
37.6696479,127.0319075,서울특별시 도봉구 시루봉로 15아길 24,NA
37.6660674,127.0367746,서울특별시 도봉구 도당로15길 12,NA
37.6698096,127.0359214,서울특별시 도봉구 시루봉로21길 14,NA
37.66755776,127.0317135,서울특별시 도봉구 시루봉로15다길 15,NA
37.6642283,127.0344476,서울특별시 도봉구 도당로11길 7,NA
37.6628385,127.0306573,서울특별시 도봉구 방학로12길 18,NA
37.669168,127.031517,서울특별시 도봉구 시루봉로15길 52,NA
37.6685301,127.0338263,서울특별시 도봉구 시루봉로17길 13,NA
37.6675888,127.0357325,서울특별시 도봉구 도당로 13라길 33,NA
37.6657107,127.034697,서울특별시 도봉구 도당로 13길 29-3,NA
37.6663463,127.0361725,서울특별시 도봉구 도당로 15길 21,NA
37.6665242,127.0354527,서울특별시 도봉구 도당로 13길 34-16,NA
37.6676531,127.0377606,서울특별시 도봉구 도당로 13나길 63,NA
37.6680935,127.0373956,서울특별시 도봉구 도봉로151길 108,NA
37.66919339,127.0336683,서울특별시 도봉구 시루봉로17가길 7,NA
37.6703574,127.032066,서울특별시 도봉구 시루봉로17길 48-22,NA
37.6698754,127.0328385,서울특별시 도봉구 시루봉로17길 36-26,NA
37.6692804,127.032581,서울특별시 도봉구 시루봉로17길 42,NA
37.6692804,127.032581,서울특별시 도봉구 시루봉로17길 42,NA
37.6705376,127.0321759,서울특별시 도봉구 시루봉로15라길 59-9,NA
37.6711027,127.0321946,서울특별시 도봉구 시루봉로15라길 59-44,NA
37.6704361,127.0325445,서울특별시 도봉구 시루봉로15라길 55,NA
37.6706568,127.0330925,서울특별시 도봉구 시루봉로15라길 64,NA
37.6702493,127.0359271,서울특별시 도봉구 시루봉로21길 28,NA
37.6690491,127.0347116,서울특별시 도봉구 시루봉로19길 24,NA
37.667902,127.0334853,서울특별시 도봉구 시루봉로15나길 10,NA
37.6690566,127.0372755,서울특별시 도봉구 시루봉로22길 12,NA
37.6656019,127.0331751,서울특별시 도봉구 도당로13다길 25,NA
37.66821778,127.0297824,서울특별시 도봉구 시루봉로15바길 37-2,NA
37.6678722,127.0391055,서울특별시 도봉구 도당로19길 19,NA
37.6676037,127.0347915,서울특별시 도봉구 도당로15길 59,NA
37.6634499,127.0335714,서울특별시 도봉구 도당로9길 12-13,NA
37.6652786,127.0357363,서울특별시 도봉구 도당로13길 8,NA
37.670416,127.0308603,서울특별시 도봉구 시루봉로15자길 31,NA
37.6673369,127.0306045,서울특별시 도봉구 시루봉로13가길 23,NA
37.6660428,127.0354136,서울특별시 도봉구 도당로13나길 9,NA
37.6683232,127.0328791,서울특별시 도봉구 시루봉로15라길 8,NA
37.6686409,127.0380052,서울특별시 도봉구 시루봉로22길 27,NA
37.6647838,127.0306536,서울특별시 도봉구 시루봉로12길 10-8,NA
37.6599104,127.0205483,서울특별시 도봉구 해등로34길 77,NA
37.6634899,127.0271556,서울특별시 도봉구 시루봉로11길 9,NA
37.6618283,127.0332784,서울특별시 도봉구 도당로7길 26,NA
37.66427947,127.0265212,서울특별시 도봉구 시루봉로11길 25-8,NA
37.6608776,127.0231979,서울특별시 도봉구 방학로17길 15-6,NA
37.6575086,127.0213403,서울특별시 도봉구 해등로 312-3,NA
37.661275,127.0218984,서울특별시 도봉구 방학로17길 44,NA
37.656277,127.0186501,서울특별시 도봉구 해등로 337-20,NA
37.6509059,127.0136677,서울특별시 도봉구 삼양로 534-7,NA
37.6570037,127.0181657,서울특별시 도봉구 우이천로 50길 47,NA
37.66025218,127.0159889,서울특별시 도봉구 삼양로 162가길 42-26,NA
37.6488005,127.034287,서울특별시 도봉구 도봉로 117길 5-13,NA
37.6487631,127.0276492,서울특별시 도봉구 노해로 44길 8,NA
37.6502968,127.0247179,서울특별시 도봉구 노해로 41길 42-9,NA
37.656277,127.0186501,서울특별시 도봉구 해등로 337-20,NA
37.6493877,127.0208089,서울특별시 도봉구 우이천로 39길 11-25,NA
37.6547188,127.0149297,서울특별시 도봉구 우이천로 45길 22-10,NA
37.6482372,127.0255041,서울특별시 도봉구 우이천로 30길 15,NA
37.6497074,127.0200228,서울특별시 도봉구 우이천로 39길 11,NA
37.6536882,127.0237364,서울특별시 도봉구 우이천로 38라길 46,NA
37.6542312,127.0184855,서울특별시 도봉구 우이천로 42길 40,NA
37.6556774,127.0158905,서울특별시 도봉구 우이천로 478,NA
37.6554305,127.0147015,서울특별시 도봉구 삼양로 154길 26,NA
37.6492662,127.020279,서울특별시 도봉구 노해로 37길 108,NA
37.6492464,127.0239792,서울특별시 도봉구 우이천로 34가길 13,NA
37.6516597,127.0221684,서울특별시 도봉구 우이천로 38나길 21,NA
